date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050
2024-07-11,1563070.4105778474,1450545.5183419017,1562068.975991514,1176655.6877961194,1280803.511535359,1069246.1037938455,1489813.9300376233,1366100.4526248137,1502965.2273785896
2024-07-12,1517060.7179898862,1418897.461226742,1519312.2571487927,1170134.7924631103,1269900.1569017954,1064037.3595364215,1450334.2459453235,1339601.854257545,1455522.7204397428
2024-07-15,1517064.0417790853,1416143.6912691155,1517847.7815056797,1169379.921323061,1264029.3142497786,1057863.3568763305,1447757.282077824,1337497.518084481,1458117.1671451675
2024-07-16,1533283.703505873,1424554.108170682,1528296.5458743605,1168001.62030425,1262950.519976369,1062886.754046934,1457658.948324343,1344100.644067333,1459229.1698290857
2024-07-17,1508573.2813015163,1409219.1810052367,1506069.564376518,1168030.746743598,1268723.5707417324,1051550.690716267,1437613.742707715,1331362.1682232765,1438843.698187699
2024-07-18,1484607.326006153,1390034.0380283082,1478523.8528259946,1170921.4528748388,1260465.408393494,1049726.803118711,1412549.5931372368,1310562.6495644683,1412898.5524622982
2024-07-19,1442728.6697716005,1359426.8411733482,1443454.2710183605,1159758.367538914,1244565.34275737,1038648.5678965452,1378923.2372117962,1280921.2214032738,1380652.3975302705
2024-07-22,1403804.140396026,1324657.930734568,1403944.3149411932,1139380.3716945343,1212180.8532259276,1026424.66502359,1340000.7251601769,1246627.6306253332,1339510.7866861913
2024-07-23,1449701.2389080296,1362883.170227648,1451069.8485277947,1159207.471355572,1241070.701101565,1039992.4550175124,1383124.165762978,1281065.7331564769,1381023.0650915764
2024-07-26,1385541.3023730195,1314880.788474203,1388125.9787433206,1139617.0438985303,1219986.1539758958,1014596.2164786712,1328505.0815774268,1238910.5279711194,1326908.881384797
2024-07-29,1401896.2558517985,1325394.3121133514,1400780.244601633,1141597.0758352575,1222358.0839872684,1002648.7704168154,1341953.4618513854,1241446.6490721875,1338769.564675438
2024-07-30,1401019.7257631386,1323644.3407350814,1400768.8370575134,1137451.1977327808,1226071.3836744844,1009281.3957250552,1340255.1532377931,1244755.7603686636,1338769.564675438
2024-07-31,1396381.36072828,1323182.8768753856,1396028.8277018175,1146590.757827239,1239796.8609196525,1017512.0714460452,1338847.8341422072,1243399.143978449,1340622.7893701096
2024-08-01,1431393.3516339008,1349239.3957541245,1425546.5172130903,1159394.2824132354,1254365.0144213375,1034181.0415999969,1366497.424502941,1268197.8421693172,1363973.3752782268
2024-08-02,1363058.8661438315,1289876.3269172069,1353477.6033349764,1133106.102195908,1204807.670587283,1006998.476251771,1300691.8986422436,1211962.6413597888,1295033.3940140752
2024-08-05,1247232.9645824027,1186627.5426820242,1239442.2065419245,1069092.5487360863,1122465.642298665,957422.993245868,1191593.8520035285,1110739.7612438295,1176797.681116405
2024-08-06,1321424.6400275216,1241504.9650226347,1307532.1162429056,1082154.663750439,1140159.9708690264,965294.0197946844,1251154.6313052212,1148274.637968521,1241660.5454299077
2024-08-07,1373385.6162927407,1282782.611236417,1358215.5694226434,1095791.001601394,1160725.7480216469,994168.1990101838,1295109.8329690972,1192761.6130399706,1290956.277063426
2024-08-08,1342307.4209792009,1258000.2315310824,1326662.4666240949,1083430.0517671723,1140796.7014003173,982039.4419665264,1268299.652778378,1168947.038794459,1264269.9093272719
2024-08-09,1387749.0291033525,1295820.5565388005,1369085.0207514898,1106130.400965761,1166381.2656894815,993525.5461353484,1309232.3655796556,1202491.8158322964,1303558.2954766792
2024-08-12,1400266.6498034238,1312859.1058604012,1388227.4284281542,1120701.1929380835,1189740.5269110445,1011881.8825238716,1326276.920771336,1219533.591324919,1319866.6501674168
2024-08-13,1399867.6878474583,1312195.7263127554,1388308.598938954,1122654.0043776273,1190366.6005062384,1012014.7442355078,1327116.1221258915,1220839.2293071148,1323202.4319954538
2024-08-14,1414762.057066517,1328726.2225644244,1404794.9937967486,1141275.1144436651,1206502.8510919958,1021117.9978320792,1343011.452998366,1233759.7396381735,1339881.4542474973
2024-08-15,1401747.0238991822,1316161.021324259,1391956.4590493308,1126962.915204752,1190482.2110015317,1012275.4968145216,1330963.0588664068,1226361.8537105662,1329503.4412020806
2024-08-16,1434987.7311101523,1344969.8258488623,1425861.063806399,1143455.2007216918,1205874.5113931915,1028227.3498899674,1362060.2034684296,1251799.641728999,1359525.5907662718
2024-08-19,1439912.424475692,1347376.870406666,1431460.5384011704,1143284.7117863577,1204566.4056274013,1026312.0695279852,1365282.7211392084,1255177.125353827,1361378.8154609432
2024-08-20,1441281.5768674463,1347255.7291425571,1432220.873061684,1142453.944879625,1202722.9160951,1028340.5885572116,1365385.592152551,1256267.5819442356,1362120.1505835555
2024-08-21,1424032.3533565882,1334426.0023140016,1416030.6428073533,1141214.3972966308,1196791.6786241354,1028426.9208908174,1350478.8115219867,1245557.849827018,1347665.0205874895
2024-08-22,1417061.763570317,1328631.2878509862,1408403.3439391744,1137814.2905082984,1195252.6880246594,1022946.742876878,1343203.111588291,1240569.5141462348,1340622.7893701096
2024-08-23,1416357.2019762038,1327215.935871845,1407033.2548310552,1137946.5948828864,1195612.8827724983,1025943.9888286112,1342016.6000314725,1241085.9713656688,1341364.0113808627
2024-08-26,1417706.630628461,1332927.7770878423,1410471.915293787,1149875.326888934,1208614.030408838,1031056.5607315896,1347020.2999364126,1245682.670349656,1343587.9036368404
2024-08-27,1407778.5649980025,1326387.069485727,1402361.9722931965,1147107.1208119446,1205317.6160045278,1035225.9402534444,1339601.3952508976,1242595.4135842142,1337657.5619915198
2024-08-28,1430775.521611154,1339352.70976426,1421575.2975402018,1148811.5606052915,1208214.57559895,1030679.1373872228,1356229.2124182363,1252994.352445678,1356560.476499541
2024-08-29,1410140.6723408075,1326652.2760627922,1404245.3677317267,1142882.311522134,1202792.1995162098,1024775.8623661344,1341012.5565875345,1243539.1705069123,1338028.229552826
2024-08-30,1412577.1583706532,1327784.469580806,1404931.7156039462,1147093.3010447656,1203826.791842697,1026355.8806384684,1342154.3061864094,1247249.3265325658,1344329.2387594525
2024-09-02,1414842.0871469958,1327931.092937227,1405545.3111896317,1145131.1384518708,1199200.264102678,1025915.3253453716,1343629.0862081689,1245401.5233354757,1340622.7893701096
2024-09-03,1403106.9178889878,1318935.4496581363,1397700.7854257068,1140309.1357001965,1190587.4997636306,1025822.2928158204,1334989.542208984,1237398.2414637147,1334692.4477247887
2024-09-04,1335973.8689853174,1257862.5456755804,1329182.2708732218,1104482.8388137838,1148781.1464555631,989863.8637901885,1272219.765387987,1181417.8232985546,1269458.9158499802
2024-09-05,1349274.362132086,1263384.6534250376,1336323.767853562,1103683.4197699346,1142592.7910839545,991187.100384182,1279770.7208090094,1186736.6434656566,1277242.4821899722
