symbol,window,val_reward,source_folder,source_ckpt,dest,notes
3231,75,,,,trained_models/3231_all_75.data,MISSING legacy checkpoint
6669,55,,,,trained_models/6669_all_55.data,MISSING legacy checkpoint
6669,60,,,,trained_models/6669_all_60.data,MISSING legacy checkpoint
6669,65,,,,trained_models/6669_all_65.data,MISSING legacy checkpoint
6669,75,,,,trained_models/6669_all_75.data,MISSING legacy checkpoint
9910,55,,,,trained_models/9910_all_55.data,MISSING legacy checkpoint
9910,60,,,,trained_models/9910_all_60.data,MISSING legacy checkpoint
9910,65,,,,trained_models/9910_all_65.data,MISSING legacy checkpoint
9910,75,,,,trained_models/9910_all_75.data,MISSING legacy checkpoint
2408,55,,,,trained_models/2408_all_55.data,MISSING legacy checkpoint
2408,60,141.7300,2408_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-141.730.data,trained_models/2408_all_60.data,
2408,65,224.2080,2408_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-224.208.data,trained_models/2408_all_65.data,
2408,75,,,,trained_models/2408_all_75.data,MISSING legacy checkpoint
