date,a2c,ppo,ddpg,td3,sac,mvo,twii,0050
2024-07-29,858871.1056621769,1019724.5158505216,949661.9411441996,1005830.2724449349,935595.5427600463,1044074.9789675068,1241446.6490721875,1338769.564675438
2024-07-30,859528.8967899204,1019753.0418842249,963307.6331163265,1018123.2219034815,945552.3908774902,1047568.2671338832,1244755.7603686636,1338769.564675438
2024-07-31,865611.700389669,1019956.5115848306,950308.5238647889,1005027.1731327655,930779.6241367023,1053910.5094435925,1243399.143978449,1340622.7893701096
2024-08-01,875007.1241960868,1021288.3043506558,972105.6084069676,1020273.6839817645,947747.1182955267,1066446.6161128515,1268197.8421693172,1363973.3752782268
2024-08-02,844450.5005886053,1017407.195284271,936694.4637116856,983292.7035511615,912629.8193061952,1044721.7223745874,1211962.6413597888,1295033.3940140752
2024-08-05,773748.2920803027,1008653.7143553039,869145.8875665135,914980.3498982074,847816.8367857586,995947.5907882114,1110739.7612438295,1176797.681116405
2024-08-06,770324.4579117695,1008157.0007299102,865299.9316173085,910931.6160222241,844126.0954458847,1015825.2211414184,1148274.6379685213,1241660.5454299077
2024-08-07,770324.4579117695,1008157.0007299102,865299.9316173085,910931.6160222241,844126.0954458847,1036965.8093588535,1192761.6130399706,1290956.277063426
2024-08-08,768549.5769603666,1007757.7853556765,860464.1741382848,901018.4228111001,840222.8515487462,1027044.2760412875,1168947.038794459,1264269.9093272719
2024-08-09,774442.2567200668,1008726.2651280276,866913.9887410676,913512.8318371732,844139.4134281226,1042800.8141839865,1202491.8158322964,1303558.2954766792
2024-08-12,786385.0578422495,1009756.8034874642,872223.0166223283,925215.3921322782,845409.5949344387,1053260.0912129267,1219533.591324919,1319866.6501674168
2024-08-13,785868.0742405521,1009362.9281752546,882703.5247400041,930449.4603276212,850589.0194919955,1054498.4372810945,1220839.2293071148,1323202.4319954538
2024-08-14,796570.0299544355,1010251.9362701577,897545.9265477891,946190.8115124662,860443.4431219854,1069325.0319999696,1233759.7396381737,1339881.4542474973
2024-08-15,793045.2329349486,1009702.9915974207,893574.3058302728,942003.951003286,857032.7611701214,1059744.4422288379,1226361.8537105662,1329503.4412020806
