date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_D,ppo_D,ddpg_D,td3_D,sac_D
2024-10-23,1229119.64215487,1411080.3416261838,1469598.1798927651,1598116.6278774652,1467172.5306156417,1063676.9048788291,1446944.2121484305,1306994.161003159,1452928.1606224591,1235343.3997825573,1409736.6813578175,1258934.022580858,1116894.8947045289,1493865.4409429124
2024-10-24,1219455.9778014403,1404804.102736428,1463953.4202674336,1589370.4476118747,1461008.7800995482,1062539.349189779,1440135.8264989424,1299027.1985122182,1444032.7047104076,1232625.470137378,1403459.8012829735,1246039.6612245897,1108627.8640495683,1490495.3272686172
2024-10-25,1231359.3250475908,1415639.6908366196,1474150.2755706243,1604543.6596146931,1471594.0969631514,1067845.2759460215,1451655.885905012,1307760.9156422212,1455893.27488919,1237809.322238461,1414293.969769637,1261704.940133094,1120655.9884807784,1499420.4177743366
2024-10-28,1232341.0420849412,1409136.6731172507,1465538.169723973,1594102.7586503658,1462205.1344551928,1063668.1381134167,1441731.2942068062,1299338.101163697,1453298.828183765,1236770.763379915,1407850.666037917,1264561.5131980393,1124418.3404249584,1488378.755224049
2024-10-29,1216130.345212113,1393059.5321868777,1448126.0926871873,1574078.9135997584,1446518.0574993533,1052156.3368338028,1425381.5127324867,1284132.3141298252,1419570.116118372,1227945.669072998,1391766.1850388793,1252810.562371131,1110397.9506711713,1472099.7747258795
2024-10-30,1213268.4872525362,1385436.1376771517,1438696.5220822347,1563673.5187556427,1436590.285272471,1050189.238102421,1416856.2303618174,1278186.2188734976,1421794.0083743497,1223394.3394158203,1384196.4014560548,1249569.869852723,1105000.0194995415,1463936.4332358052
2024-11-01,1212932.147500649,1377075.2259743293,1429923.7160170749,1554564.996595182,1429643.2930868044,1037939.0145893991,1408377.2120411568,1275926.2125832434,1412157.217339686,1214774.908512429,1375839.6305680054,1241023.075892734,1095135.112830663,1453513.9707910295
2024-11-04,1224363.7573964633,1392056.6355309724,1447446.2824325126,1573633.2704844363,1445917.7839349068,1045016.5468379699,1425982.5709270444,1286305.5696098676,1430318.796725095,1224487.818317186,1390798.147402892,1251551.317845323,1100694.3156433294,1471634.833317988
2024-11-05,1232167.8602214523,1400038.6082576376,1456732.6430528094,1584175.698465995,1454709.7703876598,1055241.930101972,1435199.2629870619,1294225.382543177,1435507.8032478034,1229970.973186599,1398752.9636804825,1256909.2425899638,1104056.7466106,1481933.0753537863
2024-11-06,1234221.492244451,1406393.0705421024,1464927.2843810834,1596181.2234171927,1461560.0708211581,1056875.085232897,1442885.887625151,1300419.6967003513,1446997.8189771385,1231272.313648834,1405051.2155451025,1257917.842927215,1107501.8950685314,1489063.69778242
2024-11-07,1244018.203391183,1416834.319574147,1474663.8299553015,1607064.1968370632,1472627.9685280542,1061411.5620983455,1452375.9803794348,1311142.3375131616,1463676.841229182,1235656.3205608712,1415489.144473131,1263479.9415571096,1116113.7999638466,1500118.022279692
